edrpou_branch,edrpou_base
39002,39002
39019,39019
14291780,14291780
16293211,16293211
14361032,14361032
14360506,14360506
22906155,22906155
9807856,9807856
5839888,5839888
19356840,19356840
14351016,14351016
19019775,19019775
14358604,14358604
19357489,19357489
19357762,19357762
16397258,16397258
20015535,20015535
14305909,14305909
23494714,23494714
19357443,19357443
39025,39025
32129,32129
20017340,20017340
26410155,26410155
21685166,21685166
21684818,21684818
19338316,19338316
21673424,21673424
21685485,21685485
14361575,14361575
21665382,21665382
20034231,20034231
26051650,26051650
19364259,19364259
19454139,19454139
25719206,25719206
26253000,26253000
21666051,21666051
26253023,26253023
19193869,19193869
26254732,26254732
19233095,19233095
21753123,21753123
23478833,23478833
24191588,24191588
19361982,19361982
14360570,14360570
20026838,20026838
14352406,14352406
20280450,20280450
20305925,20305925
21322127,21322127
23024763,23024763
23926846,23926846
23928584,23928584
21734522,21734522
26237202,26237202
33972230,33972230
34514392,34514392
35863708,35863708
37731532,37731532
37987811,37987811
14360080,14360080
13566973,13566973
19355562,19355562
21101701,21101701
35345213,35345213
20496061,20496061
20510134,20510134
9806354,9806354
13857564,13857564
21329000,21329000
19358454,19358454
24214088,24214088
36964568,36964568
22868414,22868414
23697280,23697280
22869483,22869483
25959784,25959784
21658672,21658672
20057663,20057663
20077200,20077200
22932856,22932856
21110655,21110655
24363820,24363820
24262992,24262992
23362711,23362711
19358784,19358784
21677333,21677333
20717958,20717958
19357325,19357325
19020301,19020301
19024948,19024948
14362014,14362014
19361574,19361574
14349442,14349442
14359845,14359845
14359319,14359319
22199930,22199930
21133352,21133352
19357590,19357590
19358419,19358419
9322299,9322299
21570492,21570492
32112,32112
13550848,13550848
19361386,19361386
19358282,19358282
20026740,20026740
19361746,19361746
19359784,19359784
14371869,14371869
20023569,20023569
21580639,21580639
20023463,20023463
21536532,21536532
19369239,19369239
19364130,19364130
21595828,21595828
21564391,21564391
21593719,21593719
21554560,21554560
20050951,20050951
21684161,21684161
21568696,21568696
2349410,2349410
21574573,21574573
20053145,20053145
2068095,2068095
20685262,20685262
20748213,20748213
20679755,20679755
2070535,2070535
2073574,2073574
19358632,19358632
9801546,9801546
9807862,9807862
19159542,19159542
9306278,9306278
1904694,1904694
20042809,20042809
20935846,20935846
19361350,19361350
21650966,21650966
13881479,13881479
20953647,20953647
20935649,20935649
20971504,20971504
14366762,14366762
20949114,20949114
20041917,20041917
20966466,20966466
20046323,20046323
21986488,21986488
9807595,9807595
25292831,25292831
13986250,13986250
21094713,21094713
9806437,9806437
13486837,13486837
20042839,20042839
14282829,14282829
9804355,9804355
9801641,9801641
20015050,20015050
19388768,19388768
20365318,20365318
20058668,20058668
21955111,21955111
26287625,26287625
19358767,19358767
13641864,13641864
19390819,19390819
1400564,1400564
26120084,26120084
19361427,19361427
38870739,38870739
39037656,39037656
39544699,39544699
39849797,39849797
34353904,34353904
9806443,9806443
35264721,35264721
35917889,35917889
9807750,9807750
9620081,9620081
14360721,14360721
14070197,14070197
9804119,9804119
19358721,19358721
14360386,14360386
14350784,14350784
19358916,19358916
19356515,19356515
20021814,20021814
20015529,20015529
22621582,22621582
19356610,19356610
14253207,14253207
9809192,9809192
19357516,19357516
36061927,36061927
38770082,38770082
26444836,26444836
34001693,34001693
26333064,26333064
33299878,33299878
14263173,14263173
26519933,26519933
26549574,26549574
19359904,19359904
33294890,33294890
34047020,34047020
34540768,34540768
33695095,33695095
19364584,19364584
26379729,26379729
20021524,20021524
34540113,34540113
33305163,33305163
34576883,34576883
26547581,26547581
33308489,33308489
26549700,26549700
34186061,34186061
34693790,34693790
34575675,34575675
35371070,35371070
35574578,35574578
35591059,35591059
19017842,19017842
35590956,35590956
34819265,34819265
35810511,35810511
24425738,24425738
35894495,35894495
26520464,26520464
35960913,35960913
36002395,36002395
34817907,34817907
36301800,36301800
36335426,36335426
36406512,36406512
36470620,36470620
36482677,36482677
36520434,36520434
37119553,37119553
20025456,20025456
37176171,37176171
37515069,37515069
37716841,37716841
37572263,37572263
14360920,14360920
38061253,38061253
38322199,38322199
26520688,26520688
38377143,38377143
38514375,38514375
33881201,33881201
38619024,38619024
38690683,38690683
38781707,38781707
38591533,38591533
26475516,26475516
20929956,20929956
16328435,16328435
26364113,26364113
20028816,20028816

